field,alias,table,comment,formula,fullname,matchCount,matches
trading_assets,交易性金融资产,balance,交易性金融资产是指：企业为了近期内出售而持有的金融资产。通常情况下，以赚取差价为目的从二级市场购入的股票、债券和基金等，应分类为交易性金融资产，故长期股权投资不会被分类转入交易性金融资产及其直接指定为以公允价值计量且其变动计入当期损益的金融资产进行核算。,,交易性金融资产(元),1,交易性金融资产(万元) balance
trading_liability,交易性金融负债,balance,交易性金融负债是指企业采用短期获利模式进行融资所形成的负债，比如短期借款、长期借款、应付债券。作为交易双方来说，甲方的金融债权就是乙方的金融负债，由于融资方需要支付利息，因比，就形成了金融负债。交易性金融负债是企业承担的交易性金融负债的公允价值。,,交易性金融负债(元),1,交易性金融负债(万元) balance
treasury_stock,库存股,balance,指股份有限公司已发行的股票，由于公司的重新回购或其他原因且不是为了注销的目的而由公司持有的股票。,,库存股(元),1,减:库存股(万元) balance
fixed_assets_impairment,固定资产减值准备,balance  ,,,固定资产减值准备(万元),1,固定资产减值准备(万元) balance
fixed_assets_net_value,固定资产净值,balance  ,,,固定资产净值(万元) ,1,固定资产净值(万元) balance
fixed_assets_original_value,固定资产原值,balance  ,,,固定资产原值(万元),1,固定资产原值(万元) balance
bad_debts_reserve,贷款呆账准备金,bank_indicator,贷款呆账准备金,,贷款呆账准备金,0,
bank_net_capital,资本净额,bank_indicator,资本净额为核心资本加上附属资本减去扣减项,,资本净额(2013),0,
bank_net_profit_margin,净利差,bank_indicator,净利差是指平均生息资产收益率与平均计息负债成本率之差,,净利差,0,
capital_adequacy_ratio,资本充足率,bank_indicator,资本充足率是一个银行的资产对其风险的比率,,资本充足率（2013）,0,
concerned_amount,关注-金额,bank_indicator,关注类贷款余额,,关注-金额,0,
concerned_amount_ratio,关注金额占比,bank_indicator,关注类贷款占贷款总额的比例。关注金额占比=关注类贷款/(正常类贷款+关注类贷款+次级类贷款+可疑类贷款+损失类贷款)*100%,,关注金额占比,0,
core_level_capital,核心一级资本,bank_indicator,核心一级资本,,核心一级资本(2013),0,
core_level_capital_adequacy_ratio,核心一级资本充足率,bank_indicator,核心一级资本充足率,,核心一级资本充足率(2013),0,
cost_to_income_ratio,成本收入比,bank_indicator,成本收入比为业务及管理费占营业收入的比例。成本收入比=业务及管理费/营业收入,,成本收入比,0,
deposit_loan_ratio,存贷款比例,bank_indicator,存贷款比例是指将银行的贷款总额与存款总额进行对比,,存贷款比例,0,
enterprise_deposits_average_balance,企业存款-平均余额,bank_indicator,企业存款的平均余额,,企业存款-平均余额,0,
enterprise_deposits_average_interest_rate,企业存款-年平均利率,bank_indicator,企业存款的年平均利率,,企业存款-年平均利率,0,
former_capital_adequacy_ratio,资本充足率 ,bank_indicator,资本充足率是一个银行的资产对其风险的比率,,资本充足率 (旧),0,
former_core_capital,核心资本 ,bank_indicator,核心资本净额为核心资本减去核心资本扣减项。,,核心资本 (旧),0,
former_net_capital,资本净额 ,bank_indicator,资本净额为核心资本加上附属资本减去扣减项,,资本净额 (旧),0,
former_net_core_capital,核心资本净额,bank_indicator,,,核心资本净额（旧）,0,
former_net_core_capital_adequacy_ratio,核心资本充足率 ,bank_indicator,核心资本充足率是指核心资本与加权风险资产总额的比率,,核心资本充足率 (旧),0,
former_weighted_risky_asset,加权风险资产净额,bank_indicator,加权风险资产净额是指对银行的资产加以分类，根据不同类别资产的风险性质确定不同的风险系数，以这种风险系数为权重求得的资产净额。,,加权风险资产净额（旧）,0,
interest_bearing_liabilities,计息负债,bank_indicator,计息负债指银行负债当中需要支付利息的债务,,计息负债,0,
interest_bearing_liabilities_interest_rate,计息负债成本率,bank_indicator,计息负债成本率,,计息负债成本率,0,
interest_earning_assets,生息资产,bank_indicator,生息资产是指贷款、投资等业务形式上的资产，能为银行的经营带来收入,,生息资产,0,
interest_earning_assets_yield,生息资产收益率,bank_indicator,生息资产收益率,,生息资产收益率,0,
level_1_capital_adequacy_ratio,一级资本充足率,bank_indicator,一级资本充足率,,一级资本充足率(2013),0,
loss_amount,损失-金额,bank_indicator,损失类贷款余额,,损失-金额,0,
loss_amount_ratio,损失金额占比,bank_indicator,损失类贷款占贷款总额的比例。损失金额占比=损失类贷款/(正常类贷款+关注类贷款+次级类贷款+可疑类贷款+损失类贷款)*100%,,损失金额占比,0,
mid_term_loan_annualized_average_balance,中长期贷款-平均余额,bank_indicator,中长期贷款的平均余额,,中长期贷款-平均余额,0,
mid_term_loan_annualized_average_interest_rate,中长期贷款-年平均利率,bank_indicator,中长期贷款的年平均利率,,中长期贷款-年平均利率,0,
net_core_level_capital,核心一级资本净额,bank_indicator,核心一级资本净额,,核心一级资本净额(2013),0,
net_interest_margin,净息差,bank_indicator,净息差指的是银行净利息收入和银行全部生息资产的比值,,净息差,0,
net_level_1_capital,一级资本净额,bank_indicator,一级资本净额,,一级资本净额(2013),0,
non_interest_bearing_liabilities,非计息负债,bank_indicator,非计息负债,,非计息负债,0,
non_interest_earning_assets,非生息资产,bank_indicator,非生息资产,,非生息资产,0,
non_interest_income,非利息收入,bank_indicator,非利息收入,,非利息收入,0,
non_interest_income_ratio,非利息收入占比,bank_indicator,非利息收入占比为非利息收入占全部收入的比例,,非利息收入占比,0,
non_performing_loan_provision_coverage,不良贷款拨备覆盖率,bank_indicator,不良贷款拨备覆盖率是衡量商业银行贷款损失准备金计提是否充足的一个重要指标。该项指标从宏观上反映银行贷款的风险程度及社会经济环境、诚信等方面的情况。不良贷款拨备覆盖率=贷款损失准备/(次级类资产+可疑类资产+损失类资产)*100%,,不良贷款拨备覆盖率,0,
Nonperforming_loan_rate,不良贷款率,bank_indicator,金融机构不良贷款占总贷款余额的比重,,不良贷款率,0,
normal_amount,正常-金额,bank_indicator,正常类贷款余额,,正常-金额,0,
normal_amount_ratio,正常金额占比,bank_indicator,正常类贷款占贷款总额的比例。正常金额占比=正常类贷款/(正常类贷款+关注类贷款+次级类贷款+可疑类贷款+损失类贷款)*100%,,正常金额占比,0,
savings_deposit_average_balance,储蓄存款-平均余额,bank_indicator,储蓄存款的平均余额,,储蓄存款-平均余额,0,
savings_deposit_average_interest_rate,储蓄存款-年平均利率,bank_indicator,储蓄存款的年平均利率,,储蓄存款-年平均利率,0,
secondary_amount,次级-金额,bank_indicator,次级类贷款余额,,次级-金额,0,
secondary_amount_ratio,次级金额占比,bank_indicator,次级类贷款占贷款总额的比例。次级金额占比=次级类贷款/(正常类贷款+关注类贷款+次级类贷款+可疑类贷款+损失类贷款)*100%,,次级金额占比,0,
short_term_asset_liquidity_ratio_CNY,短期资产流动性比例,bank_indicator,人民币的短期资产流动性比例,,短期资产流动性比例（人民币）,0,
short_term_asset_liquidity_ratio_FC,短期资产流动性比例,bank_indicator,外币的短期资产流动性比例,,短期资产流动性比例（外币）,0,
short_term_loan_annualized_average_interest_rate,短期贷款-年平均利率,bank_indicator,短期贷款的年平均利率,,短期贷款-年平均利率,0,
short_term_loan_average_balance,短期贷款-平均余额,bank_indicator,短期贷款的平均余额,,短期贷款-平均余额,0,
single_largest_customer_loan_ratio,单一最大客户贷款比例,bank_indicator,单一最大客户贷款额占全部贷款余额的比例,,单一最大客户贷款比例,0,
suspicious_amount,可疑-金额,bank_indicator,可疑类贷款余额,,可疑-金额,0,
suspicious_amount_ratio,可疑金额占比,bank_indicator,可疑类贷款占贷款总额的比例。可疑金额占比=可疑类贷款/(正常类贷款+关注类贷款+次级类贷款+可疑类贷款+损失类贷款)*100%,,可疑金额占比,0,
top_ten_customer_loan_ratio,最大十家客户贷款比例,bank_indicator,最大十家客户贷款额占全部贷款余额的比例,,最大十家客户贷款比例,0,
total_deposit,存款总额,bank_indicator,银行的存款总额,,存款总额,0,
total_loan,贷款总额,bank_indicator,银行发放的贷款总额,,贷款总额,0,
weighted_risky_asset,风险加权资产合计,bank_indicator,风险加权资产合计,,风险加权资产合计（2013）,0,
accrued_expenses_inc,预提费用的增加,cash_flow,,, 预提费用的增加(万元),1, 预提费用增加(万元) cash_flow
asset_impairment_provision,资产减值准备,cash_flow,,, 资产减值准备(万元),1, 资产减值准备(万元) cash_flow
borrowing_repayment,偿还债务支付的现金,cash_flow,反映企业以现金偿还债务的本金。,,偿还债务支付的现金(元),1, 偿还债务支付现金(万元) cash_flow
cash_at_beginning,现金的期初余额,cash_flow,,, 现金的期初余额(万元),1, 现金期初余额(万元) cash_flow
cash_at_end,现金的期末余额,cash_flow,,, 现金的期末余额(万元),1, 现金期末余额(万元) cash_flow
cash_equivalents_at_beginning,期初现金及现金等价物余额,cash_flow,现金流量表科目。,,期初现金及现金等价物余额(元),1, 加:期初现金及现金等价物余额(万元) cash_flow
cash_equivalents_at_end,期末现金及现金等价物余额,cash_flow,现金流量表科目。,,期末现金及现金等价物余额(元),1, 期末现金及现金等价物余额(万元) cash_flow
cash_for_pledge_deposit_inc,增加质押和定期存款所支付的现金,cash_flow,,, 增加质押和定期存款所支付的现金(万元),1, 增加质押和定期存款支付现金(万元) cash_flow
cash_from_bonds_issue,发行债券收到的现金,cash_flow,反映商业银行本期发行债券收到的本金。,,发行债券收到的现金(元),1, 发行债券收到现金(万元) cash_flow
cash_from_borrowing,取得借款收到的现金,cash_flow,反映企业举借各种短期、长期借款而收到的现金。,,取得借款收到的现金(元),1, 取得借款收到现金(万元) cash_flow
cash_from_invest,吸收投资收到的现金,cash_flow,反映企业以发行股票、债券等方式筹集资金实际收到的款项，减去直接支付给金融企业的佣金、手续费、宣传费、咨询费、印刷费等发行费用后的净额。,,吸收投资收到的现金(元),1, 吸收投资收到现金(万元) cash_flow
cash_from_mino_s_invest_sub,子公司吸收少数股东投资收到的现金,cash_flow,《企业会计准则第33 号——合并财务报表》合并现金流量表科目。具体核算范围和方法参见上市公司定期报告。,,子公司吸收少数股东投资收到的现金(元),1, 其中：子公司吸收少数股东投资收到现金(万元) cash_flow
cash_from_pledeg_deposit_dec,减少质押和定期存款所收到的现金,cash_flow,,, 减少质押和定期存款所收到的现金(万元),1, 减少质押和定期存款收到现金(万元) cash_flow
cashEquivalents_at_beginning,现金等价物的期初余额,cash_flow,,, 现金等价物的期初余额(万元),1, 现金等价物期初余额(万元) cash_flow
cashEquivalents_at_end,现金等价物的期末余额,cash_flow,,, 现金等价物的期末余额(万元),1, 现金等价物期末余额(万元) cash_flow
complete_unsettle_payment_dec,已完工尚未结算款的减少,cash_flow,,, 已完工尚未结算款的减少(减:增加)(万元),1, 已完工尚未结算款减少(减:增加)(万元) cash_flow
convertible_bonds_in_one_year,一年内到期的可转换公司债券,cash_flow,,, 一年内到期的可转换公司债券(万元),1, 一年内到期可转换公司债券(万元) cash_flow
debt_to_capital,债务转为资本,cash_flow,,, 债务转为资本(万元),1, 债务转为资本(万元) cash_flow
deferred_income_inc,递延收益增加,cash_flow,,, 递延收益增加(减：减少)(万元),1, 递延收益增加(减：减少)(万元) cash_flow
deferred_tax_assets_dec,递延所得税资产减少,cash_flow,,,递延所得税资产减少(万元),1, 递延得税资产减少(万元) cash_flow
deferred_tax_liability_inc,递延所得税负债增加,cash_flow,,,递延所得税负债增加(万元) ,1, 递延得税负债增加(万元) cash_flow
depreciation,固定资产折旧、油气资产折耗、生产性物资折旧,cash_flow,,,固定资产折旧、油气资产折耗、生产性物资折旧(万元) ,1, 固定资产折旧、油气资产折耗、生产性物资折旧(万元) cash_flow
dividend_interest_payment,分配股利、利润或偿付利息所支付的现金,cash_flow,反映企业实际支付的现金股利、支付给其他投资单位的利润或用现金支付的借款利息、债券利息。,,分配股利、利润或偿付利息支付的现金(元),1, 分配股利、利润或偿付利息支付现金(万元) cash_flow
exchange_rate_change_effect,汇率变动对现金及现金等价物的影响,cash_flow,指企业外币现金流量及境外子公司的现金流量折算成记账本位币时，所采用的是现金流量发生日的汇率或即期汇率的近似汇率。,,汇率变动对现金及现金等价物的影响,1, 汇率变动对现金及现金等价物影响(万元) cash_flow
fair_value_change_loss,公允价值变动损失,cash_flow,,, 公允价值变动损失(万元),1, 公允价值变动损失(万元) cash_flow
fix_intan_other_asset_acqui_cash,购建固定资产、无形资产和其他长期资产所支付的现金,cash_flow,反映企业购买、建造固定资产、取得无形资产和其他长期资产所支付的现金及增值税款、支付的应由在建工程和无形资产负担的职工薪酬现金支出，但为购建固定资产而发生的借款利息资本化部分、融资租入固定资产所支付的租赁费除外。,,购建固定资产、无形资产和其他长期资产支付的现金(元),1, 购建固定资产、无形资产和其他长期资产支付现金(万元) cash_flow
fix_intan_other_asset_dispo_cash,处置固定资产、无形资产和其他长期资产所收回的现金净额,cash_flow,反映企业出售、报废固定资产、无形资产和其他长期资产所取得的现金（包括因资产毁损而收到的保险赔偿收入），减去为处置这些资产而支付的有关费用后的净额，但现金净额为负数的除外。,,处置固定资产、无形资产和其他长期资产收回的现金净额(元),1, 处置固定资产、无形资产和其他长期资产收回现金净额(万元) cash_flow
fix_intan_other_asset_dispo_loss,处置固定资产、无形资产和其他长期资产的损失,cash_flow,,,处置固定资产、无形资产和其他长期资产的损失(万元) ,1, 处置固定资产、无形资产和其他长期资产损失(万元) cash_flow
fixed_asset_under_leases,融资租入固定资产,cash_flow,,,融资租入固定资产(万元) ,1, 融资租入固定资产(万元) cash_flow
fixed_assets_write_off_loss,固定资产报废损失,cash_flow,,,固定资产报废损失(万元),1, 固定资产报废损失(万元) cash_flow
goods_and_services_cash_paid,购买商品、接受劳务支付的现金,cash_flow,反映企业本期购买商品、接受劳务实际支付的现金（包括增值税进项税额），以及本期支付前期购买商品、接受劳务的未付款项和本期预付款项，减去本期发生的购货退回收到的现金。,,购买商品、接受劳务支付的现金(元),1, 购买商品、接受劳务支付现金(万元) cash_flow
goods_sale_and_service_render_cash,销售商品、提供劳务收到的现金,cash_flow,反映企业本期销售商品、提供劳务收到的现金，以及前期销售商品、提供劳务本期收到的现金（包括销售收入和应向购买者收取的增值税销项税额）和本期预收的款项，减去本期销售本期退回的商品和前期销售本期退回的商品支付的现金。企业销售材料和代购代销业务收到的现金，也在本项目反映。,,销售商品、提供劳务收到的现金(元),1, 销售商品、提供劳务收到现金(万元) cash_flow
handling_charges_and_commission,支付利息、手续费及佣金的现金,cash_flow,一般是指涉及到贷款利息，银行扣缴的手续费及佣金等现金的流出，用在利息指出，或者银行手续费支出，佣金支出等业务上。,,支付利息、手续费及佣金的现金(元),1, 支付利息、手续费及佣金现金(万元) cash_flow
impawned_loan_net_increase,质押贷款净增加额,cash_flow,质押贷款是指贷款人按《担保法》规定的质押方式以借款人或第三人的动产或权利为质押物发放的贷款。,,质押贷款净增加额(元),1, 质押贷款净增加额(万元) cash_flow
intangible_assets_amortization,无形资产摊销,cash_flow,,,无形资产摊销(万元) ,1, 无形资产摊销(万元) cash_flow
interest_and_commission_cashin,收取利息、手续费及佣金的现金,cash_flow,收取利息、手续费及佣金的现金,,收取利息、手续费及佣金的现金(元),1, 收取利息、手续费及佣金现金(万元) cash_flow
inventories_decrease,存货的减少,cash_flow,,,存货的减少(万元) ,1, 存货减少(万元) cash_flow
invest_cash_paid,投资支付的现金,cash_flow,反映企业取得的除现金等价物以外的权益性投资和债权性投资所支付的现金以及支付的佣金、手续费等附加费用。,,投资支付的现金(元),0,
invest_proceeds,取得投资收益所收到的现金,cash_flow,反映企业因股权性投资而分得的现金股利，从子公司、联营企业或合营企业分回利润而收到的现金，以及因债权性投资而取得的现金利息收入，但股票股利除外。,,取得投资收益收到的现金(元),1, 取得投资收益收到现金(万元) cash_flow
invest_withdrawal_cash,收回投资收到的现金,cash_flow,反映企业出售、转让或到期收回除现金等价物以外的交易性金融资产、长期股权投资而收到的现金，以及收回长期债权投资本金而收到的现金，但长期债权投资收回的利息除外。,,收回投资收到的现金(元),1, 收回投资收到现金(万元) cash_flow
investment_cash_paid,投资所支付的现金,cash_flow,,, 投资所支付的现金(万元),1, 投资支付现金(万元) cash_flow
investment_loss,投资损失,cash_flow,,, 投资损失(万元),1, 投资损失(万元) cash_flow
investment_loss_unaffirmed,未确认的投资损失,cash_flow,,, 未确认的投资损失(万元),2, 未确认投资损失(万元) cash_flow 未确认投资损失(万元) income
net_borrowing_from_central_bank,向中央银行借款净增加额,cash_flow,向中央银行借款净增加额=向中央银行借款期末余额－向中央银行借款期初余额。,,向中央银行借款净增加额(元),1, 向中央银行借款净增加额(万元 cash_flow
net_borrowing_from_finance_co,向其他金融机构拆入资金净增加额,cash_flow,向其他金融机构拆入资金净增加额=向其他金融机构拆入资金期末余额－向其他金融机构拆入资金期初余额。,,向其他金融机构拆入资金净增加额(元),1, 向其他金融机构拆入资金净增加额(万元) cash_flow
net_buyback,回购业务资金净增加额,cash_flow,回购交易是质押贷款的一种方式，通常用在政府债券上。债券经纪人向投资者临时出售一定的债券，同时签约在一定的时间内以稍高价格买回来。债券经纪人从中取得资金再用来投资，而投资者从价格差中得利。,,回购业务资金净增加额(元),1, 回购业务资金净增加额(万元) cash_flow
net_cash_deal_subcompany,处置子公司及其他营业单位收到的现金净额,cash_flow,反映企业处置子公司及其他营业单位所取得的现金减去相关处置费用后的净额。,,处置子公司及其他营业单位收到的现金净额(元),1, 处置子公司及其他营业单位收到现金净额(万元) cash_flow
net_cash_equivalent_inc,现金及现金等价物净增加额,cash_flow,中外币现金净增加额按期末汇率折算的金额。,,现金及现金等价物净增加额,3,现金及现金等价物净增加额(万元) indicator  现金及现金等价物净增加额(万元) cash_flow  现金及现金等价物净增加额(万元) cash_flow
net_cash_from_sub_company,取得子公司及其他营业单位支付的现金净额,cash_flow,反映企业购买子公司及其他营业单位购买出价中以现金支付的部分，减去子公司或其他营业单位持有的现金和现金等价物后的净额。,,取得子公司及其他营业单位支付的现金净额(元),1, 取得子公司及其他营业单位支付现金净额(万元) cash_flow
net_cash_received_from_reinsurance_business,收到再保险业务现金净额,cash_flow,再保险是指一个保险人，分出一定的保险金额给另一个保险人。,,收到再保险业务现金净额(元),1, 收到再保险业务现金净额(万元) cash_flow
net_deal_trading_assets,处置交易性金融资产净增加额,cash_flow,交易性金融资产是指企业为了近期内出售而持有的债券投资、股票投资和基金投资。,,处置交易性金融资产净增加额(元),1, 处置交易性金融资产净增加额(万元) cash_flow
net_deposit_in_cb_and_ib,存放中央银行和同业款项净增加额,cash_flow,存放中央银行款项是指各金融企业在中央银行开户而存入的用于支付清算、调拨款项、提取及缴存现金、往来资金结算以及按吸收存款的一定比例缴存于中央银行的款项和其他需要缴存的款项。存放同业是指商业银行存放在其他银行和非银行金融机构的存款。,,存放中央银行和同业款项净增加额(元),1, 存放中央银行和同业款项净增加额(万元) cash_flow
net_deposit_increase,客户存款和同业存放款项净增加额,cash_flow,客户存款和同业存款净增加额=客户存款和同业存款期末余额－客户存款和同业存款期初余额。,,客户存款和同业存放款项净增加额(元),1, 客户存款和同业存放款项净增加额(万元) cash_flow
net_finance_cash_flow,筹资活动产生的现金流量净额,cash_flow,现金流量表科目。,,筹资活动产生的现金流量净额(元),1, 筹资活动产生现金流量净额(万元) cash_flow
net_increase_in_placements,拆入资金净增加额,cash_flow,拆入资金净增加额=拆入资金期末余额－拆入资金期初余额。,,拆入资金净增加额(元),1, 拆入资金净增加额(万元) cash_flow
net_insurer_deposit_investment,保户储金及投资款净增加额,cash_flow,保户储金，是指保险公司以储金利息作为保费的保险业务，收到保户缴存的储金。投资款是收到股东的款项。,,保户储金及投资款净增加额(元),1, 保户储金及投资款净增加额(万元) cash_flow
net_invest_cash_flow,投资活动产生的现金流量净额,cash_flow,现金流量表科目。,,投资活动产生的现金流量净额(元),1, 投资活动产生现金流量净额(万元) cash_flow
net_loan_and_advance_increase,客户贷款及垫款净增加额,cash_flow,客户贷款是科目核算信托项目管理运用、处分信托财产而持有的各项贷款。垫款是指银行在客户无力支付到期款项的情况下，被迫以自有资金代为支付的行为。,,客户贷款及垫款净增加额(元),1, 客户贷款及垫款净增加额(万元) cash_flow
net_ocf_per_share,每股经营活动产生的现金流量净额,cash_flow,,,每股经营活动产生的现金流量净额(元) ,1,每股经营活动产生现金流量净额(元) indicator
net_operate_cash_flow,经营活动产生的现金流量净额,cash_flow,公式: 经营活动产生的现金流量净额/负债合计,,经营活动产生的现金流量净额(元),3,经营活动产生现金流量净额(万元) indicator  经营活动产生现金流量净额(万元) cash_flow  经营活动产生现金流量净额(万元) cash_flow
net_original_insurance_cash,收到原保险合同保费取得的现金,cash_flow,收到原保险合同保费取得的现金,,收到原保险合同保费取得的现金(元),1, 收到原保险合同保费取得现金(万元) cash_flow
operating_payable_inc,经营性应付项目的增加,cash_flow,,, 经营性应付项目的增加(万元),1, 经营性应付项目增加(万元) cash_flow
operating_receivable_dec,经营性应收项目的减少,cash_flow,,, 经营性应收项目的减少(万元),1, 经营性应收项目减少(万元) cash_flow
original_compensation_paid,支付原保险合同赔付款项的现金,cash_flow,赔付支出主要指核算企业（保险）支付的原保险合同赔付款项和再保险合同赔付款项。原保险即是区别于再保险的名词。,,支付原保险合同赔付款项的现金(元),1, 支付原保险合同赔付款项现金(万元) cash_flow
other,其他,cash_flow,,, 其他(万元),1, 其他(万元) cash_flow
other_cash_from_invest_act,收到其他与投资活动有关的现金,cash_flow,反映企业除上述各项目外收到或支付的其他与投资活动有关的现金流入或流出，金额较大的应当单独列示。,,收到其他与投资活动有关的现金(元),1, 收到其他与投资活动有关现金(万元) cash_flow
other_cash_to_invest_act,支付其他与投资活动有关的现金,cash_flow,现金流量表科目。,,支付其他与投资活动有关的现金(元),1, 支付其他与投资活动有关现金(万元) cash_flow
other_cashin_related_operate,收到的其他与经营活动有关的现金,cash_flow,反映企业收到的罚款收入、经营租赁收到的租金等其他与经营活动有关的现金流入，金额较大的应当单独列示。,,收到其他与经营活动有关的现金(元),1, 收到其他与经营活动有关现金(万元) cash_flow
other_finance_act_cash,收到其他与筹资活动有关的现金,cash_flow,反映企业除上述项目外，收到或支付的其他与筹资活动有关的现金流入或流出，包括以发行股票、债券等方式筹集资金而由企业直接支付的审计和咨询等费用、为购建固定资产而发生的借款利息资本化部分、融资租入固定资产所支付的租赁费、以分期付款方式购建固定资产以后各期支付的现金等。,,收到其他与筹资活动有关的现金(元),1, 收到其他与筹资活动有关现金(万元) cash_flow
other_finance_act_payment,支付其他与筹资活动有关的现金,cash_flow,包括：筹资费用所支付的现金，融资租赁所支付的现金，减少注册资本所支付的现金（收购本公司股票、退还联营单位的联营投资等）企业以分期付款方式构建固定资产除首期付款支付的现金以外的其他各期所支付的现金。,,支付其他与筹资活动有关的现金(元),1, 支付其他与筹资活动有关现金(万元) cash_flow
other_operate_cash_paid,支付其他与经营活动有关的现金,cash_flow,反映企业支付的罚款支出、支付的差旅费、业务招待费、保险费、经营租赁支付的现金等其他与经营活动有关的现金流出，金额较大的应当单独列示。,,支付其他与经营活动有关的现金(元),1, 支付其他与经营活动有关现金(万元) cash_flow
policy_dividend_cash_paid,支付保单红利的现金,cash_flow,保单红利支出是根据原保险合同的约定，按照分红保险产品的红利分配方法及有关精算结果而估算，支付给保单持有人的红利。,,支付保单红利的现金(元),1, 支付保单红利现金(万元) cash_flow
prepiad_expenses_dec,待摊费用的减少,cash_flow,,, 待摊费用的减少(万元),1, 待摊费用减少(万元) cash_flow
proceeds_from_sub_to_mino_s,子公司支付给少数股东的股利、利润,cash_flow,一般企业现金流量表科目。,,子公司支付给少数股东的股利、利润(元),1, 其中：子公司支付给少数股东股利、利润(万元) cash_flow
staff_behalf_paid,支付给职工以及为职工支付的现金,cash_flow,这个项目反映企业实际支付给职工的现金以及为职工支付的现金，包括本期实际支付给职工的工资、奖金、各种津贴和补贴等，以及为职工支付的其他费用。不包括支付的离退休人员的各项费用和支付给在建工程人员的工资等。,,支付给职工以及为职工支付的现金(元),1, 支付给职工以及为职工支付现金(万元) cash_flow
subtotal_finance_cash_inflow,筹资活动现金流入小计,cash_flow,吸收投资收到的现金+取得借款收到的现金+收到其他与筹资活动有关的现金+发行债券收到的现金。,,筹资活动现金流入小计(元),1, 筹资活动现金流入小计(万元) cash_flow
subtotal_finance_cash_outflow,筹资活动现金流出小计,cash_flow,现金流量表科目。,,筹资活动现金流出小计(元),1, 筹资活动现金流出小计(万元) cash_flow
subtotal_invest_cash_inflow,投资活动现金流入小计,cash_flow,取得投资收益收到的现金+处置固定资产、无形资产和其他长期资产收回的现金净额+处置子公司及其他营业单位收到的现金净额+收到其他与投资活动有关的现金。,,投资活动现金流入小计(元),1, 投资活动现金流入小计(万元) cash_flow
subtotal_invest_cash_outflow,投资活动现金流出小计,cash_flow,购建固定资产、无形资产和其他长期资产支付的现金+投资支付的现金+取得子公司及其他营业单位支付的现金净额+支付其他与投资活动有关的现金。,,投资活动现金流出小计(元),1, 投资活动现金流出小计(万元) cash_flow
subtotal_operate_cash_inflow,经营活动现金流入小计,cash_flow,销售商品、提供劳务+收到的现金收到的税费返还+收到其他与经营活动有关的现金。,,经营活动现金流入小计(元),1, 经营活动现金流入小计(万元) cash_flow
subtotal_operate_cash_outflow,经营活动现金流出小计,cash_flow,购买商品、接受劳务支付的现金+支付给职工以及为职工支付的现金+支付的各项税费+支付其他与经营活动有关的现金。,,经营活动现金流出小计(元),1, 经营活动现金流出小计(万元) cash_flow
tax_levy_refund,收到的税费返还,cash_flow,反映企业收到返还的增值税、营业税、所得税、消费税、关税和教育费附加返还款等各种税费。,,收到的税费返还(元),1, 收到税费返还(万元) cash_flow
tax_payments,支付的各项税费,cash_flow,反映企业本期发生并支付的、本期支付以前各期发生的以及预交的教育费附加、矿产资源补偿费、印花税、房产税、土地增值税、车船使用税、预交的营业税等税费，计入固定资产价值、实际支付的耕地占用税、本期退回的增值税、所得税等除外。,,支付的各项税费(元),1, 支付各项税费(万元) cash_flow
uncomplete_settle_payment_inc,已结算尚未完工款的增加,cash_flow,,, 已结算尚未完工款的增加(减:减少)(万元),1, 已结算尚未完工款增加(减:减少)(万元) cash_flow
amplitude,振幅,history,,,,,
bl_low,布林线下轨,history,,,,,
bl_mid,布林线中轨,history,,,,,
bl_upper,布林线上轨,history,,,,,
change_amount,涨跌额,history,,,,,
change_rate,涨跌幅,history,,,,,
close,收盘价,history,,,收盘价,0,
code,股票代码,history,,,股票代码,0,
code,ticker,history,,,ticker,0,
date,日期,history,,,交易日期,0,
date,date,history,,,,4,date indicator date balance date cash_flow date income
derc_close,后复权价,history,,,,,
derc_high,后复权最高价,history,,,,,
derc_low,后复权最低价,history,,,,,
derc_open,后复权开盘,history,,,,,
i_close,自定义后复权价,history,,,,,
i_hight,自定义后复权最高价,history,,,,,
i_low,自定义后复权最低价,history,,,,,
i_open,自定义后复权开盘,history,,,,,
fall_stop,是否跌停,history,,,,,
forward_right_price,前复权价,history,,,,,
high,最高价,history,,,最高价,0,
kdj_cross,KDJ_金叉死叉,history,,,,,
kdj_d,KDJ_D,history,,,,,
kdj_j,KDJ_J,history,,,,,
kdj_k,KDJ_K,history,,,,,
low,最低价,history,,,最低价,0,
ma_cross,MA金叉死叉,history,,,,,
ma10,MA_10,history,,,,,
ma20,MA_20,history,,,,,
ma30,MA_30,history,,,,,
ma5,MA_5,history,,,,,
ma60,MA_60,history,,,,,
macd_cross,MACD_金叉死叉,history,,,,,
macd_dea,MACD_DEA,history,,,,,
macd_dif,MACD_DIF,history,,,,,
macd_macd,MACD_MACD,history,,,,,
money,成交额,history,,,成交额,0,
money,成交金额,history,,,成交额,0,
name,名称,history,,,股票名称,0,
open,开盘价,history,,,开盘价,0,
pre_close,前收盘,history,,,,,
psy,psy,history,,,,,
psyma,psyma,history,,,,,
rise_stop,是否涨停,history,,,,,
rsi1,rsi1,history,,,,,
rsi2,rsi2,history,,,,,
rsi3,rsi3,history,,,,,
tick_count,成交笔数,history,,,,,
vol_ratio,量比,history,,,,,
volume,成交量,history,,,成交量,0,
